"Continent ID","Continent","Country ID","Country","ISO 3","Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
"af","Africa","afago","Angola","ago",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",17723995586
"af","Africa","afbdi","Burundi","bdi",14,"Precious Metals",1471,"Precious metals, gems and jewelry",147108,"Gold",90481705.99999999
"af","Africa","afben","Benin","ben",11,"Textiles",1152,"Cotton",115201,"Raw Cotton",451860006
"af","Africa","afbfa","Burkina Faso","bfa",14,"Precious Metals",1471,"Precious metals, gems and jewelry",147108,"Gold",7185232734
"af","Africa","afbwa","Botswana","bwa",14,"Precious Metals",1471,"Precious metals, gems and jewelry",147102,"Diamonds",4004115692
"af","Africa","afcaf","Central African Republic","caf",9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94403,"Rough Wood",51872834
"af","Africa","afciv","Cote d'Ivoire","civ",4,"Foodstuffs",418,"Cocoa and cocoa preparations",41801,"Cocoa Beans",3515650914
"af","Africa","afcmr","Cameroon","cmr",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",1462174909
"af","Africa","afcod","Democratic Republic of the Congo","cod",15,"Metals",1574,"Copper and articles thereof",157403,"Refined Copper",11065551710
"af","Africa","afcog","Republic of the Congo","cog",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",3566570248
"af","Africa","afcom","Comoros","com",2,"Vegetable Products",209,"Coffee, tea, mate and spices",20907,"Cloves",21316933
"af","Africa","afcpv","Cape Verde","cpv",4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41604,"Processed Fish",35953926
"af","Africa","afdji","Djibouti","dji",6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62827,"Chlorides",45904087.00000001
